24.1.1;Рабочее место главного инженера;;Главный инженер;
24.1.2;Рабочее место начальника цеха;;Начальник цеха;
24.1.3;Рабочее место инженера-технолога;;Инженер-технолог;
24.1.4;Рабочее место инженера-технолога;;Инженер-технолог;
24.2.1;Рабочее место начальника склада;;Начальник склада;
25.1.1;Рабочее место оператора намоточного станка;Намотка;Оператор намоточного станка;
25.1.2;Рабочее место оператора намоточного станка;Намотка;Оператор намоточного станка;
25.1.3;Рабочее место оператора печи полимеризации;Полимеризация;Помощник оператора намоточного станка;
25.1.4;Рабочее место проведения входного контроля органоволокна;Проведение входного контроля органоволокна;Помощник оператора намоточного станка;
25.1.5;Рабочее место проведения испытаний органоволокна на разрыв;Проведение испытаний органоволокна на разрыв;Помощник оператора намоточного станка;
25.1.6;Рабочее место приготовления связующего;Приготовление связующего;Помощник оператора намоточного станка;
25.1.7;Рабочее место очистки комплектующих от компонентов связующего;Очистка комплектующих от компонентов связующего;Помощник оператора намоточного станка;
25.2.1;Рабочее место сварки, сборки металлоконструкций;Сварка металлоконструкций.Сборка металлоконструкций;Сварщик;
25.2.2;Рабочее место сварки, сборки металлоконструкций;Сварка металлоконструкций.Сборка металлоконструкций;Сварщик;
25.2.3;Зона монтажа комплектующих рам и агрегатов;Монтаж комплектующих рам.Монтаж агрегатов;Слесарь-сборщик;
25.2.4;Зона монтажа комплектующих рам и агрегатов;Монтаж комплектующих рам.Монтаж агрегатов;Слесарь-сборщик;
25.2.5;Зона контроля, хранения и консервации металлоконструкций;;Контролер ОТК;
25.3.1;Участок сварки рам агрегатов КСОП;Cварка рам агрегатов КСОП;;;
26.1.1;Склад готовой продукции;;Начальник склада;
26.2.1;Участок упаковки агрегатов КСОП;Упаковки агрегатов КСОП;;
26.3.1;Участок упаковки агрегатов КСОП;Упаковки агрегатов КСОП;;
26.4.1;Складское помещение комплектующих КСОП;;;
26.5.1;Компрессорная;;;
26.6.1;Помещение контроля за проведением испытаний;;;
26.7.1;Складское помещение 5-го отделения;;;
26.8.1;Камера проведения испытаний агрегатов КСОП и их составных частей;Проведение испытаний агрегатов КСОП и их составных частей;;;
